step,time_s,KE_J,PE_J,Etot_J
1110,1.110000000e-09,4.390764948e-16,-2.517291518e-23,4.390764696e-16
1120,1.120000000e-09,4.390765023e-16,-3.316143762e-23,4.390764691e-16
1130,1.130000000e-09,4.390764949e-16,-2.606825531e-23,4.390764688e-16
1140,1.140000000e-09,4.390765035e-16,-3.438407341e-23,4.390764691e-16
1150,1.150000000e-09,4.390765038e-16,-3.507067740e-23,4.390764688e-16
1160,1.160000000e-09,4.390765163e-16,-4.713939884e-23,4.390764692e-16
1170,1.170000000e-09,4.390765171e-16,-4.839181673e-23,4.390764687e-16
1180,1.180000000e-09,4.390765178e-16,-4.805742929e-23,4.390764697e-16
1190,1.190000000e-09,4.390765177e-16,-4.905005210e-23,4.390764687e-16
1200,1.200000000e-09,4.390765265e-16,-5.789406214e-23,4.390764686e-16
1210,1.210000000e-09,4.390765436e-16,-7.329482335e-23,4.390764703e-16
1220,1.220000000e-09,4.390765056e-16,-3.502647758e-23,4.390764706e-16
1230,1.230000000e-09,4.390765066e-16,-3.745637196e-23,4.390764691e-16
1240,1.240000000e-09,4.390765066e-16,-3.807576297e-23,4.390764685e-16
1250,1.250000000e-09,4.390765243e-16,-5.140717016e-23,4.390764729e-16
1260,1.260000000e-09,4.390764930e-16,-2.371380688e-23,4.390764693e-16
1270,1.270000000e-09,4.390764944e-16,-2.516157556e-23,4.390764693e-16
1280,1.280000000e-09,4.390765023e-16,-3.553273562e-23,4.390764668e-16
1290,1.290000000e-09,4.390764921e-16,-2.171283804e-23,4.390764704e-16
1300,1.300000000e-09,4.390764898e-16,-2.096252325e-23,4.390764688e-16
1310,1.310000000e-09,4.390764911e-16,-2.180626270e-23,4.390764693e-16
1320,1.320000000e-09,4.390765257e-16,-5.534983335e-23,4.390764703e-16
1330,1.330000000e-09,4.390764791e-16,-1.046043764e-23,4.390764687e-16
1340,1.340000000e-09,4.390764962e-16,-2.732014599e-23,4.390764689e-16
1350,1.350000000e-09,4.390765029e-16,-3.510169825e-23,4.390764678e-16
1360,1.360000000e-09,4.390765198e-16,-4.908108874e-23,4.390764707e-16
1370,1.370000000e-09,4.390765202e-16,-5.129311915e-23,4.390764689e-16
1380,1.380000000e-09,4.390765297e-16,-6.154049800e-23,4.390764681e-16
1390,1.390000000e-09,4.390765369e-16,-7.030020200e-23,4.390764666e-16
1400,1.400000000e-09,4.390764932e-16,-2.651930813e-23,4.390764667e-16
1410,1.410000000e-09,4.390765185e-16,-4.965854520e-23,4.390764689e-16
1420,1.420000000e-09,4.390765203e-16,-5.142810264e-23,4.390764689e-16
1430,1.430000000e-09,4.390765339e-16,-6.315445223e-23,4.390764708e-16
1440,1.440000000e-09,4.390765205e-16,-5.205817849e-23,4.390764685e-16
1450,1.450000000e-09,4.390765237e-16,-5.312507554e-23,4.390764705e-16
1460,1.460000000e-09,4.390765174e-16,-4.879597578e-23,4.390764686e-16
1470,1.470000000e-09,4.390765115e-16,-4.147453284e-23,4.390764700e-16
1480,1.480000000e-09,4.390765263e-16,-5.648825227e-23,4.390764698e-16
1490,1.490000000e-09,4.390765052e-16,-3.649061164e-23,4.390764687e-16
1500,1.500000000e-09,4.390765136e-16,-4.461066029e-23,4.390764690e-16
1510,1.510000000e-09,4.390765174e-16,-4.923751870e-23,4.390764681e-16
1520,1.520000000e-09,4.390765243e-16,-5.457738626e-23,4.390764697e-16
1530,1.530000000e-09,4.390765242e-16,-5.534949362e-23,4.390764689e-16
1540,1.540000000e-09,4.390765311e-16,-6.233048446e-23,4.390764688e-16
1550,1.550000000e-09,4.390765276e-16,-6.062953427e-23,4.390764670e-16
1560,1.560000000e-09,4.390765117e-16,-4.526057315e-23,4.390764665e-16
1570,1.570000000e-09,4.390765031e-16,-3.733055636e-23,4.390764658e-16
1580,1.580000000e-09,4.390764849e-16,-1.791730111e-23,4.390764670e-16
1590,1.590000000e-09,4.390764888e-16,-2.378996140e-23,4.390764650e-16
1600,1.600000000e-09,4.390765032e-16,-3.786164407e-23,4.390764654e-16
1610,1.610000000e-09,4.390765039e-16,-3.811323973e-23,4.390764658e-16
1620,1.620000000e-09,4.390765073e-16,-4.123076212e-23,4.390764661e-16
1630,1.630000000e-09,4.390765023e-16,-3.672950875e-23,4.390764656e-16
1640,1.640000000e-09,4.390765008e-16,-3.491707157e-23,4.390764659e-16
1650,1.650000000e-09,4.390764965e-16,-3.057571972e-23,4.390764659e-16
1660,1.660000000e-09,4.390764993e-16,-3.451180991e-23,4.390764648e-16
1670,1.670000000e-09,4.390765073e-16,-4.159557337e-23,4.390764657e-16
1680,1.680000000e-09,4.390765157e-16,-5.105751267e-23,4.390764646e-16
1690,1.690000000e-09,4.390765354e-16,-6.960135419e-23,4.390764658e-16
1700,1.700000000e-09,4.390765335e-16,-6.758654114e-23,4.390764659e-16
1710,1.710000000e-09,4.390765284e-16,-6.242264541e-23,4.390764660e-16
1720,1.720000000e-09,4.390765323e-16,-6.707188754e-23,4.390764652e-16
1730,1.730000000e-09,4.390765474e-16,-8.229923259e-23,4.390764651e-16
1740,1.740000000e-09,4.390765457e-16,-7.942560406e-23,4.390764663e-16
1750,1.750000000e-09,4.390765373e-16,-7.146080534e-23,4.390764658e-16
1760,1.760000000e-09,4.390765385e-16,-7.291995281e-23,4.390764655e-16
1770,1.770000000e-09,4.390765456e-16,-8.032379189e-23,4.390764653e-16
1780,1.780000000e-09,4.390765371e-16,-7.023680484e-23,4.390764668e-16
1790,1.790000000e-09,4.390765227e-16,-5.652774917e-23,4.390764662e-16
1800,1.800000000e-09,4.390765155e-16,-4.964523473e-23,4.390764658e-16
1810,1.810000000e-09,4.390765263e-16,-6.197215684e-23,4.390764643e-16
1820,1.820000000e-09,4.390765204e-16,-5.314195864e-23,4.390764673e-16
1830,1.830000000e-09,4.390765061e-16,-4.000487140e-23,4.390764661e-16
1840,1.840000000e-09,4.390765086e-16,-4.336880596e-23,4.390764652e-16
1850,1.850000000e-09,4.390765369e-16,-7.259841821e-23,4.390764643e-16
1860,1.860000000e-09,4.390765143e-16,-4.859185978e-23,4.390764657e-16
1870,1.870000000e-09,4.390765101e-16,-4.379809677e-23,4.390764663e-16
1880,1.880000000e-09,4.390765104e-16,-4.505495846e-23,4.390764653e-16
1890,1.890000000e-09,4.390765112e-16,-4.566901000e-23,4.390764656e-16
1900,1.900000000e-09,4.390765154e-16,-4.986030623e-23,4.390764656e-16
1910,1.910000000e-09,4.390765215e-16,-5.640203292e-23,4.390764651e-16
1920,1.920000000e-09,4.390765331e-16,-6.756649788e-23,4.390764655e-16
1930,1.930000000e-09,4.390765414e-16,-7.530157448e-23,4.390764661e-16
1940,1.940000000e-09,4.390765260e-16,-6.002005145e-23,4.390764660e-16
1950,1.950000000e-09,4.390765365e-16,-7.082370327e-23,4.390764657e-16
1960,1.960000000e-09,4.390765261e-16,-6.059071190e-23,4.390764655e-16
1970,1.970000000e-09,4.390765380e-16,-7.251136105e-23,4.390764655e-16
1980,1.980000000e-09,4.390765487e-16,-8.308325470e-23,4.390764656e-16
1990,1.990000000e-09,4.390765401e-16,-7.347285780e-23,4.390764667e-16
2000,2.000000000e-09,4.390765398e-16,-7.439919128e-23,4.390764654e-16
