step,time_s,KE_J,PE_J,Etot_J,T_kin_K,P_Pa,Uext_J
1310,1.310000000e-09,4.127968482e-16,-6.737422771e-22,4.128059334e-16,9.966251334e+03,2.751976735e-07,9.759003339e-21
1320,1.320000000e-09,4.127990737e-16,-8.213302721e-22,4.128057352e-16,9.966305067e+03,2.751991108e-07,7.482753800e-21
1330,1.330000000e-09,4.128001497e-16,-7.551044101e-22,4.128059803e-16,9.966331045e+03,2.751998484e-07,6.585675563e-21
1340,1.340000000e-09,4.127990372e-16,-6.322462481e-22,4.128060073e-16,9.966304185e+03,2.751991473e-07,7.602397002e-21
1350,1.350000000e-09,4.127977761e-16,-6.348816650e-22,4.128060652e-16,9.966273737e+03,2.751983053e-07,8.924011471e-21
1360,1.360000000e-09,4.128000977e-16,-7.112353735e-22,4.128058939e-16,9.966329789e+03,2.751998280e-07,6.507416251e-21
1370,1.370000000e-09,4.128009401e-16,-6.148354418e-22,4.128063009e-16,9.966350126e+03,2.752004197e-07,5.975646331e-21
1380,1.380000000e-09,4.127981470e-16,-5.711396038e-22,4.128061304e-16,9.966282693e+03,2.751985738e-07,8.554501305e-21
1390,1.390000000e-09,4.127996373e-16,-6.775627454e-22,4.128059770e-16,9.966318673e+03,2.751995321e-07,7.017301809e-21
1400,1.400000000e-09,4.128010196e-16,-7.675933582e-22,4.128061247e-16,9.966352046e+03,2.752004237e-07,5.872704455e-21
1410,1.410000000e-09,4.128002995e-16,-6.938715285e-22,4.128062891e-16,9.966334661e+03,2.751999681e-07,6.683433394e-21
1420,1.420000000e-09,4.127995353e-16,-7.194237262e-22,4.128062003e-16,9.966316211e+03,2.751994502e-07,7.384406460e-21
1430,1.430000000e-09,4.128001806e-16,-8.205693611e-22,4.128059676e-16,9.966331791e+03,2.751998477e-07,6.607504047e-21
1440,1.440000000e-09,4.128024267e-16,-6.716771398e-22,4.128062108e-16,9.966386017e+03,2.752013794e-07,4.455854529e-21
1450,1.450000000e-09,4.127999422e-16,-7.447116035e-22,4.128062131e-16,9.966326034e+03,2.751997133e-07,7.015625315e-21
1460,1.460000000e-09,4.128000555e-16,-7.999377345e-22,4.128059960e-16,9.966328771e+03,2.751997708e-07,6.740384107e-21
1470,1.470000000e-09,4.128024731e-16,-8.043659605e-22,4.128061415e-16,9.966387140e+03,2.752013805e-07,4.472735677e-21
1480,1.480000000e-09,4.128021850e-16,-7.332163482e-22,4.128062078e-16,9.966380183e+03,2.752012118e-07,4.756050994e-21
1490,1.490000000e-09,4.128005675e-16,-7.801919408e-22,4.128062509e-16,9.966341132e+03,2.752001194e-07,6.463583033e-21
1500,1.500000000e-09,4.128015387e-16,-8.129548888e-22,4.128060521e-16,9.966364579e+03,2.752007549e-07,5.326345722e-21
1510,1.510000000e-09,4.128037609e-16,-8.121630143e-22,4.128062667e-16,9.966418230e+03,2.752022426e-07,3.318018959e-21
1520,1.520000000e-09,4.128015756e-16,-7.381217959e-22,4.128063426e-16,9.966365471e+03,2.752008045e-07,5.505124186e-21
1530,1.530000000e-09,4.128014010e-16,-8.325852173e-22,4.128061252e-16,9.966361255e+03,2.752006592e-07,5.556726226e-21
1540,1.540000000e-09,4.128033569e-16,-9.120468406e-22,4.128060955e-16,9.966408477e+03,2.752019368e-07,3.650688180e-21
1550,1.550000000e-09,4.128037668e-16,-8.240761441e-22,4.128061458e-16,9.966418372e+03,2.752022433e-07,3.203095962e-21
1560,1.560000000e-09,4.128019305e-16,-8.351303302e-22,4.128062180e-16,9.966374038e+03,2.752010125e-07,5.122608890e-21
1570,1.570000000e-09,4.128023338e-16,-8.369380742e-22,4.128059619e-16,9.966383776e+03,2.752012782e-07,4.464976618e-21
1580,1.580000000e-09,4.128051508e-16,-7.654256888e-22,4.128061608e-16,9.966451788e+03,2.752031786e-07,1.775392118e-21
1590,1.590000000e-09,4.128033277e-16,-7.519473706e-22,4.128062120e-16,9.966407771e+03,2.752019670e-07,3.636301374e-21
1600,1.600000000e-09,4.128026371e-16,-8.286359963e-22,4.128061058e-16,9.966391099e+03,2.752014821e-07,4.297287438e-21
1610,1.610000000e-09,4.128044405e-16,-9.058318459e-22,4.128061164e-16,9.966434638e+03,2.752026598e-07,2.581786498e-21
1620,1.620000000e-09,4.128057664e-16,-8.196303941e-22,4.128061125e-16,9.966466649e+03,2.752035660e-07,1.165755616e-21
1630,1.630000000e-09,4.128033119e-16,-9.067684074e-22,4.128060899e-16,9.966407391e+03,2.752019081e-07,3.684708398e-21
1640,1.640000000e-09,4.128038379e-16,-8.779927961e-22,4.128058807e-16,9.966420089e+03,2.752022671e-07,2.920754092e-21
1650,1.650000000e-09,4.128058980e-16,-8.725113222e-22,4.128058911e-16,9.966469826e+03,2.752036423e-07,8.656062530e-22
1660,1.660000000e-09,4.128054711e-16,-8.270160422e-22,4.128061136e-16,9.966459520e+03,2.752033727e-07,1.469522563e-21
1670,1.670000000e-09,4.128038365e-16,-7.987749946e-22,4.128058746e-16,9.966420056e+03,2.752022923e-07,2.836872147e-21
1680,1.680000000e-09,4.128052666e-16,-7.673203080e-22,4.128058196e-16,9.966454582e+03,2.752032568e-07,1.320320790e-21
1690,1.690000000e-09,4.128070319e-16,-8.116931203e-22,4.128059056e-16,9.966497202e+03,2.752044273e-07,-3.145889731e-22
1700,1.700000000e-09,4.128049285e-16,-7.668891176e-22,4.128060461e-16,9.966446421e+03,2.752030355e-07,1.884425048e-21
1710,1.710000000e-09,4.128048326e-16,-7.368819133e-22,4.128057322e-16,9.966444105e+03,2.752029802e-07,1.636507607e-21
1720,1.720000000e-09,4.128066907e-16,-7.609667048e-22,4.128057137e-16,9.966488965e+03,2.752042238e-07,-2.160333073e-22
1730,1.730000000e-09,4.128062851e-16,-6.722637251e-22,4.128058180e-16,9.966479173e+03,2.752039779e-07,2.051216740e-22
1740,1.740000000e-09,4.128047297e-16,-6.769026102e-22,4.128058390e-16,9.966441620e+03,2.752029383e-07,1.786257174e-21
1750,1.750000000e-09,4.128048382e-16,-5.059637380e-22,4.128055540e-16,9.966444239e+03,2.752030577e-07,1.221850060e-21
1760,1.760000000e-09,4.128069835e-16,-5.441175775e-22,4.128056569e-16,9.966496034e+03,2.752044756e-07,-7.824710486e-22
1770,1.770000000e-09,4.128050813e-16,-4.813789853e-22,4.128058850e-16,9.966450109e+03,2.752032269e-07,1.285107916e-21
1780,1.780000000e-09,4.128039230e-16,-4.075848461e-22,4.128057114e-16,9.966422145e+03,2.752024785e-07,2.195992536e-21
1790,1.790000000e-09,4.128064611e-16,-3.955576593e-22,4.128056374e-16,9.966483422e+03,2.752041740e-07,-4.281312987e-22
1800,1.800000000e-09,4.128064026e-16,-4.261483073e-22,4.128059258e-16,9.966482011e+03,2.752041260e-07,-5.064691757e-23
1810,1.810000000e-09,4.128045871e-16,-3.678226612e-22,4.128059506e-16,9.966438178e+03,2.752029347e-07,1.731308650e-21
1820,1.820000000e-09,4.128050787e-16,-3.285159816e-22,4.128057841e-16,9.966450047e+03,2.752032750e-07,1.033923163e-21
1830,1.830000000e-09,4.128066577e-16,-2.930591297e-22,4.128057977e-16,9.966488169e+03,2.752043371e-07,-5.669511541e-22
