step,time_s,KE_J,PE_J,Etot_J,T_kin_K,P_Pa
790,7.900000000e-10,2.068738065e-16,-3.344210615e-22,2.068734721e-16,9.989205873e+03,1.379157596e-07
800,8.000000000e-10,2.068737695e-16,-2.981458211e-22,2.068734714e-16,9.989204088e+03,1.379157468e-07
810,8.100000000e-10,2.068737442e-16,-2.723906508e-22,2.068734718e-16,9.989202866e+03,1.379157384e-07
820,8.200000000e-10,2.068737555e-16,-2.861484090e-22,2.068734693e-16,9.989203411e+03,1.379157415e-07
830,8.300000000e-10,2.068737575e-16,-2.851199981e-22,2.068734724e-16,9.989203508e+03,1.379157432e-07
840,8.400000000e-10,2.068737405e-16,-2.672707438e-22,2.068734732e-16,9.989202686e+03,1.379157377e-07
850,8.500000000e-10,2.068737012e-16,-2.349272733e-22,2.068734663e-16,9.989200791e+03,1.379157217e-07
860,8.600000000e-10,2.068737443e-16,-2.737707081e-22,2.068734706e-16,9.989202872e+03,1.379157383e-07
870,8.700000000e-10,2.068737395e-16,-2.682728244e-22,2.068734712e-16,9.989202639e+03,1.379157369e-07
880,8.800000000e-10,2.068737315e-16,-2.598500926e-22,2.068734717e-16,9.989202254e+03,1.379157344e-07
890,8.900000000e-10,2.068737154e-16,-2.432228853e-22,2.068734722e-16,9.989201475e+03,1.379157291e-07
900,9.000000000e-10,2.068737114e-16,-2.416994486e-22,2.068734697e-16,9.989201283e+03,1.379157269e-07
910,9.100000000e-10,2.068737158e-16,-2.442892771e-22,2.068734716e-16,9.989201496e+03,1.379157291e-07
920,9.200000000e-10,2.068736925e-16,-2.204273397e-22,2.068734721e-16,9.989200368e+03,1.379157215e-07
930,9.300000000e-10,2.068736785e-16,-2.072374995e-22,2.068734713e-16,9.989199694e+03,1.379157164e-07
940,9.400000000e-10,2.068736816e-16,-2.118679748e-22,2.068734698e-16,9.989199843e+03,1.379157169e-07
950,9.500000000e-10,2.068736895e-16,-2.179660524e-22,2.068734716e-16,9.989200225e+03,1.379157203e-07
960,9.600000000e-10,2.068736879e-16,-2.169151562e-22,2.068734710e-16,9.989200147e+03,1.379157195e-07
970,9.700000000e-10,2.068737025e-16,-2.318946175e-22,2.068734706e-16,9.989200851e+03,1.379157243e-07
980,9.800000000e-10,2.068737037e-16,-2.320232397e-22,2.068734717e-16,9.989200909e+03,1.379157250e-07
990,9.900000000e-10,2.068736922e-16,-2.206819083e-22,2.068734715e-16,9.989200355e+03,1.379157211e-07
1000,1.000000000e-09,2.068737050e-16,-2.351241679e-22,2.068734699e-16,9.989200973e+03,1.379157248e-07
1010,1.010000000e-09,2.068737129e-16,-2.419256308e-22,2.068734710e-16,9.989201355e+03,1.379157278e-07
